Years,2008,2009,2010,2011
AT,93,101,90,87
BE,0,69,84,98
BG,27,19,18,27
CZ,160,185,198,235
DE,714,875,899,853
DK,24,32,23,26
EE,1,0,0,0
ES,174,163,124,128
FI,52,62,44,64
FR,289,337,328,332
HU,111,139,121,155
IE,7,2,6,6
IT,137,111,109,140
LT,0,2,4,5
LU,null,4,3,7
LV,9,10,13,10
NL,164,197,201,215
NO,7,8,7,11
PL,29,25,47,28
PT,50,69,51,42
RO,29,25,23,76
SE,71,67,68,62
SI,20,10,15,25
SK,58,56,48,40
GB,202,210,224,203
